Natural emissions backed out from the RCP scenarios
Method: assumed 1765 was steady state. Used constant lifetime of 9.3 years for CH4 and 121 years for N2O. After 2005, lifetimes are fixed at 2005 levels.
year       CH4        N2O
           MtCH4      MtN2O-N
1994.0000  184.4282    7.9100
1995.0000  191.5885    8.6102
1996.0000  192.4089    8.8641
1997.0000  200.7752    8.5509
1998.0000  214.9829    8.7561
1999.0000  217.4466    8.7432
2000.0000  209.8705    8.3344
2001.0000  204.8501    8.5941
2002.0000  206.6764    9.1700
2003.0000  207.0581    9.2298
2004.0000  198.2341    8.8188
2005.0000  190.5807    8.9883
2006.0000  190.5807    8.9883
2007.0000  190.5807    8.9883
2008.0000  190.5807    8.9883
2009.0000  190.5807    8.9883
2010.0000  190.5807    8.9883
2011.0000  190.5807    8.9883
2012.0000  190.5807    8.9883
2013.0000  190.5807    8.9883
2014.0000  190.5807    8.9883
2015.0000  190.5807    8.9883
2016.0000  190.5807    8.9883
2017.0000  190.5807    8.9883
2018.0000  190.5807    8.9883
2019.0000  190.5807    8.9883
2020.0000  190.5807    8.9883
2021.0000  190.5807    8.9883
2022.0000  190.5807    8.9883
2023.0000  190.5807    8.9883
2024.0000  190.5807    8.9883
2025.0000  190.5807    8.9883
2026.0000  190.5807    8.9883
2027.0000  190.5807    8.9883
2028.0000  190.5807    8.9883
2029.0000  190.5807    8.9883
2030.0000  190.5807    8.9883
2031.0000  190.5807    8.9883
2032.0000  190.5807    8.9883
2033.0000  190.5807    8.9883
2034.0000  190.5807    8.9883
2035.0000  190.5807    8.9883
2036.0000  190.5807    8.9883
2037.0000  190.5807    8.9883
2038.0000  190.5807    8.9883
2039.0000  190.5807    8.9883
2040.0000  190.5807    8.9883
2041.0000  190.5807    8.9883
2042.0000  190.5807    8.9883
2043.0000  190.5807    8.9883
2044.0000  190.5807    8.9883
2045.0000  190.5807    8.9883
2046.0000  190.5807    8.9883
2047.0000  190.5807    8.9883
2048.0000  190.5807    8.9883
2049.0000  190.5807    8.9883
2050.0000  190.5807    8.9883
2051.0000  190.5807    8.9883
2052.0000  190.5807    8.9883
2053.0000  190.5807    8.9883
2054.0000  190.5807    8.9883
2055.0000  190.5807    8.9883
2056.0000  190.5807    8.9883
2057.0000  190.5807    8.9883
2058.0000  190.5807    8.9883
2059.0000  190.5807    8.9883
2060.0000  190.5807    8.9883
2061.0000  190.5807    8.9883
2062.0000  190.5807    8.9883
2063.0000  190.5807    8.9883
2064.0000  190.5807    8.9883
2065.0000  190.5807    8.9883
2066.0000  190.5807    8.9883
2067.0000  190.5807    8.9883
2068.0000  190.5807    8.9883
2069.0000  190.5807    8.9883
2070.0000  190.5807    8.9883
2071.0000  190.5807    8.9883
2072.0000  190.5807    8.9883
2073.0000  190.5807    8.9883
2074.0000  190.5807    8.9883
2075.0000  190.5807    8.9883
2076.0000  190.5807    8.9883
2077.0000  190.5807    8.9883
2078.0000  190.5807    8.9883
2079.0000  190.5807    8.9883
2080.0000  190.5807    8.9883
2081.0000  190.5807    8.9883
2082.0000  190.5807    8.9883
2083.0000  190.5807    8.9883
2084.0000  190.5807    8.9883
2085.0000  190.5807    8.9883
2086.0000  190.5807    8.9883
2087.0000  190.5807    8.9883
2088.0000  190.5807    8.9883
2089.0000  190.5807    8.9883
2090.0000  190.5807    8.9883
2091.0000  190.5807    8.9883
2092.0000  190.5807    8.9883
2093.0000  190.5807    8.9883
2094.0000  190.5807    8.9883
2095.0000  190.5807    8.9883
2096.0000  190.5807    8.9883
2097.0000  190.5807    8.9883
2098.0000  190.5807    8.9883
2099.0000  190.5807    8.9883
2100.0000  190.5807    8.9883
2101.0000  190.5807    8.9883
2102.0000  190.5807    8.9883
2103.0000  190.5807    8.9883
2104.0000  190.5807    8.9883
2105.0000  190.5807    8.9883
2106.0000  190.5807    8.9883
2107.0000  190.5807    8.9883
2108.0000  190.5807    8.9883
2109.0000  190.5807    8.9883
2110.0000  190.5807    8.9883
2111.0000  190.5807    8.9883
2112.0000  190.5807    8.9883
2113.0000  190.5807    8.9883
2114.0000  190.5807    8.9883
2115.0000  190.5807    8.9883
2116.0000  190.5807    8.9883
2117.0000  190.5807    8.9883
2118.0000  190.5807    8.9883
2119.0000  190.5807    8.9883
2120.0000  190.5807    8.9883
2121.0000  190.5807    8.9883
2122.0000  190.5807    8.9883
2123.0000  190.5807    8.9883
2124.0000  190.5807    8.9883
2125.0000  190.5807    8.9883
2126.0000  190.5807    8.9883
2127.0000  190.5807    8.9883
2128.0000  190.5807    8.9883
2129.0000  190.5807    8.9883
2130.0000  190.5807    8.9883
2131.0000  190.5807    8.9883
2132.0000  190.5807    8.9883
2133.0000  190.5807    8.9883
2134.0000  190.5807    8.9883
2135.0000  190.5807    8.9883
2136.0000  190.5807    8.9883
2137.0000  190.5807    8.9883
2138.0000  190.5807    8.9883
2139.0000  190.5807    8.9883
2140.0000  190.5807    8.9883
2141.0000  190.5807    8.9883
2142.0000  190.5807    8.9883
2143.0000  190.5807    8.9883
2144.0000  190.5807    8.9883
2145.0000  190.5807    8.9883
2146.0000  190.5807    8.9883
2147.0000  190.5807    8.9883
2148.0000  190.5807    8.9883
2149.0000  190.5807    8.9883
2150.0000  190.5807    8.9883
2151.0000  190.5807    8.9883
2152.0000  190.5807    8.9883
2153.0000  190.5807    8.9883
2154.0000  190.5807    8.9883
2155.0000  190.5807    8.9883
2156.0000  190.5807    8.9883
2157.0000  190.5807    8.9883
2158.0000  190.5807    8.9883
2159.0000  190.5807    8.9883
2160.0000  190.5807    8.9883
2161.0000  190.5807    8.9883
2162.0000  190.5807    8.9883
2163.0000  190.5807    8.9883
2164.0000  190.5807    8.9883
2165.0000  190.5807    8.9883
2166.0000  190.5807    8.9883
2167.0000  190.5807    8.9883
2168.0000  190.5807    8.9883
2169.0000  190.5807    8.9883
2170.0000  190.5807    8.9883
2171.0000  190.5807    8.9883
2172.0000  190.5807    8.9883
2173.0000  190.5807    8.9883
2174.0000  190.5807    8.9883
2175.0000  190.5807    8.9883
2176.0000  190.5807    8.9883
2177.0000  190.5807    8.9883
2178.0000  190.5807    8.9883
2179.0000  190.5807    8.9883
2180.0000  190.5807    8.9883
2181.0000  190.5807    8.9883
2182.0000  190.5807    8.9883
2183.0000  190.5807    8.9883
2184.0000  190.5807    8.9883
2185.0000  190.5807    8.9883
2186.0000  190.5807    8.9883
2187.0000  190.5807    8.9883
2188.0000  190.5807    8.9883
2189.0000  190.5807    8.9883
2190.0000  190.5807    8.9883
2191.0000  190.5807    8.9883
2192.0000  190.5807    8.9883
2193.0000  190.5807    8.9883
2194.0000  190.5807    8.9883
2195.0000  190.5807    8.9883
2196.0000  190.5807    8.9883
2197.0000  190.5807    8.9883
2198.0000  190.5807    8.9883
2199.0000  190.5807    8.9883
2200.0000  190.5807    8.9883
2201.0000  190.5807    8.9883
2202.0000  190.5807    8.9883
2203.0000  190.5807    8.9883
2204.0000  190.5807    8.9883
2205.0000  190.5807    8.9883
2206.0000  190.5807    8.9883
2207.0000  190.5807    8.9883
2208.0000  190.5807    8.9883
2209.0000  190.5807    8.9883
2210.0000  190.5807    8.9883
2211.0000  190.5807    8.9883
2212.0000  190.5807    8.9883
2213.0000  190.5807    8.9883
2214.0000  190.5807    8.9883
2215.0000  190.5807    8.9883
2216.0000  190.5807    8.9883
2217.0000  190.5807    8.9883
2218.0000  190.5807    8.9883
2219.0000  190.5807    8.9883
2220.0000  190.5807    8.9883
2221.0000  190.5807    8.9883
2222.0000  190.5807    8.9883
2223.0000  190.5807    8.9883
2224.0000  190.5807    8.9883
2225.0000  190.5807    8.9883
2226.0000  190.5807    8.9883
2227.0000  190.5807    8.9883
2228.0000  190.5807    8.9883
2229.0000  190.5807    8.9883
2230.0000  190.5807    8.9883
2231.0000  190.5807    8.9883
2232.0000  190.5807    8.9883
2233.0000  190.5807    8.9883
2234.0000  190.5807    8.9883
2235.0000  190.5807    8.9883
2236.0000  190.5807    8.9883
2237.0000  190.5807    8.9883
2238.0000  190.5807    8.9883
2239.0000  190.5807    8.9883
2240.0000  190.5807    8.9883
2241.0000  190.5807    8.9883
2242.0000  190.5807    8.9883
2243.0000  190.5807    8.9883
2244.0000  190.5807    8.9883
2245.0000  190.5807    8.9883
2246.0000  190.5807    8.9883
2247.0000  190.5807    8.9883
2248.0000  190.5807    8.9883
2249.0000  190.5807    8.9883
2250.0000  190.5807    8.9883
2251.0000  190.5807    8.9883
2252.0000  190.5807    8.9883
2253.0000  190.5807    8.9883
2254.0000  190.5807    8.9883
2255.0000  190.5807    8.9883
2256.0000  190.5807    8.9883
2257.0000  190.5807    8.9883
2258.0000  190.5807    8.9883
2259.0000  190.5807    8.9883
2260.0000  190.5807    8.9883
2261.0000  190.5807    8.9883
2262.0000  190.5807    8.9883
2263.0000  190.5807    8.9883
2264.0000  190.5807    8.9883
2265.0000  190.5807    8.9883
2266.0000  190.5807    8.9883
2267.0000  190.5807    8.9883
2268.0000  190.5807    8.9883
2269.0000  190.5807    8.9883
2270.0000  190.5807    8.9883
2271.0000  190.5807    8.9883
2272.0000  190.5807    8.9883
2273.0000  190.5807    8.9883
2274.0000  190.5807    8.9883
2275.0000  190.5807    8.9883
2276.0000  190.5807    8.9883
2277.0000  190.5807    8.9883
2278.0000  190.5807    8.9883
2279.0000  190.5807    8.9883
2280.0000  190.5807    8.9883
2281.0000  190.5807    8.9883
2282.0000  190.5807    8.9883
2283.0000  190.5807    8.9883
2284.0000  190.5807    8.9883
2285.0000  190.5807    8.9883
2286.0000  190.5807    8.9883
2287.0000  190.5807    8.9883
2288.0000  190.5807    8.9883
2289.0000  190.5807    8.9883
2290.0000  190.5807    8.9883
2291.0000  190.5807    8.9883
2292.0000  190.5807    8.9883
2293.0000  190.5807    8.9883
2294.0000  190.5807    8.9883
2295.0000  190.5807    8.9883
2296.0000  190.5807    8.9883
2297.0000  190.5807    8.9883
2298.0000  190.5807    8.9883
2299.0000  190.5807    8.9883
2300.0000  190.5807    8.9883
2301.0000  190.5807    8.9883
2302.0000  190.5807    8.9883
2303.0000  190.5807    8.9883
2304.0000  190.5807    8.9883
2305.0000  190.5807    8.9883
2306.0000  190.5807    8.9883
2307.0000  190.5807    8.9883
2308.0000  190.5807    8.9883
2309.0000  190.5807    8.9883
2310.0000  190.5807    8.9883
2311.0000  190.5807    8.9883
2312.0000  190.5807    8.9883
2313.0000  190.5807    8.9883
2314.0000  190.5807    8.9883
2315.0000  190.5807    8.9883
2316.0000  190.5807    8.9883
2317.0000  190.5807    8.9883
2318.0000  190.5807    8.9883
2319.0000  190.5807    8.9883
2320.0000  190.5807    8.9883
2321.0000  190.5807    8.9883
2322.0000  190.5807    8.9883
2323.0000  190.5807    8.9883
2324.0000  190.5807    8.9883
2325.0000  190.5807    8.9883
2326.0000  190.5807    8.9883
2327.0000  190.5807    8.9883
2328.0000  190.5807    8.9883
2329.0000  190.5807    8.9883
2330.0000  190.5807    8.9883
2331.0000  190.5807    8.9883
2332.0000  190.5807    8.9883
2333.0000  190.5807    8.9883
2334.0000  190.5807    8.9883
2335.0000  190.5807    8.9883
2336.0000  190.5807    8.9883
2337.0000  190.5807    8.9883
2338.0000  190.5807    8.9883
2339.0000  190.5807    8.9883
2340.0000  190.5807    8.9883
2341.0000  190.5807    8.9883
2342.0000  190.5807    8.9883
2343.0000  190.5807    8.9883
2344.0000  190.5807    8.9883
2345.0000  190.5807    8.9883
2346.0000  190.5807    8.9883
2347.0000  190.5807    8.9883
2348.0000  190.5807    8.9883
2349.0000  190.5807    8.9883
2350.0000  190.5807    8.9883
2351.0000  190.5807    8.9883
2352.0000  190.5807    8.9883
2353.0000  190.5807    8.9883
2354.0000  190.5807    8.9883
2355.0000  190.5807    8.9883
2356.0000  190.5807    8.9883
2357.0000  190.5807    8.9883
2358.0000  190.5807    8.9883
2359.0000  190.5807    8.9883
2360.0000  190.5807    8.9883
2361.0000  190.5807    8.9883
2362.0000  190.5807    8.9883
2363.0000  190.5807    8.9883
2364.0000  190.5807    8.9883
2365.0000  190.5807    8.9883
2366.0000  190.5807    8.9883
2367.0000  190.5807    8.9883
2368.0000  190.5807    8.9883
2369.0000  190.5807    8.9883
2370.0000  190.5807    8.9883
2371.0000  190.5807    8.9883
2372.0000  190.5807    8.9883
2373.0000  190.5807    8.9883
2374.0000  190.5807    8.9883
2375.0000  190.5807    8.9883
2376.0000  190.5807    8.9883
2377.0000  190.5807    8.9883
2378.0000  190.5807    8.9883
2379.0000  190.5807    8.9883
2380.0000  190.5807    8.9883
2381.0000  190.5807    8.9883
2382.0000  190.5807    8.9883
2383.0000  190.5807    8.9883
2384.0000  190.5807    8.9883
2385.0000  190.5807    8.9883
2386.0000  190.5807    8.9883
2387.0000  190.5807    8.9883
2388.0000  190.5807    8.9883
2389.0000  190.5807    8.9883
2390.0000  190.5807    8.9883
2391.0000  190.5807    8.9883
2392.0000  190.5807    8.9883
2393.0000  190.5807    8.9883
2394.0000  190.5807    8.9883
2395.0000  190.5807    8.9883
2396.0000  190.5807    8.9883
2397.0000  190.5807    8.9883
2398.0000  190.5807    8.9883
2399.0000  190.5807    8.9883
2400.0000  190.5807    8.9883
2401.0000  190.5807    8.9883
2402.0000  190.5807    8.9883
2403.0000  190.5807    8.9883
2404.0000  190.5807    8.9883
2405.0000  190.5807    8.9883
2406.0000  190.5807    8.9883
2407.0000  190.5807    8.9883
2408.0000  190.5807    8.9883
2409.0000  190.5807    8.9883
2410.0000  190.5807    8.9883
2411.0000  190.5807    8.9883
2412.0000  190.5807    8.9883
2413.0000  190.5807    8.9883
2414.0000  190.5807    8.9883
2415.0000  190.5807    8.9883
2416.0000  190.5807    8.9883
2417.0000  190.5807    8.9883
2418.0000  190.5807    8.9883
2419.0000  190.5807    8.9883
2420.0000  190.5807    8.9883
2421.0000  190.5807    8.9883
2422.0000  190.5807    8.9883
2423.0000  190.5807    8.9883
2424.0000  190.5807    8.9883
2425.0000  190.5807    8.9883
2426.0000  190.5807    8.9883
2427.0000  190.5807    8.9883
2428.0000  190.5807    8.9883
2429.0000  190.5807    8.9883
2430.0000  190.5807    8.9883
2431.0000  190.5807    8.9883
2432.0000  190.5807    8.9883
2433.0000  190.5807    8.9883
2434.0000  190.5807    8.9883
2435.0000  190.5807    8.9883
2436.0000  190.5807    8.9883
2437.0000  190.5807    8.9883
2438.0000  190.5807    8.9883
2439.0000  190.5807    8.9883
2440.0000  190.5807    8.9883
