Fossil CH4 fraction as a proportion of total anthropogenic CH4 emissions,,,,
Original sources: ,RCP emissions database pik.potsdam.de/~mmalte/rcps,,,
,RCP database tntcat.iiasa.ac.at/RcpDb/,,,
Method: ,Linearly interpolate between decades. Years before 1850 and after 2100 are set equal to 1850 and 2100 respectively.,,,
Year,RCP3PD,RCP4.5,RCP6,RCP8.5
1945,0.2520905,0.2520905,0.2520905,0.2520905
1946,0.2504755,0.2504755,0.2504755,0.2504755
1947,0.2488605,0.2488605,0.2488605,0.2488605
1948,0.24724549,0.24724549,0.24724549,0.24724549
1949,0.24563049,0.24563049,0.24563049,0.24563049
1950,0.24401549,0.24401549,0.24401549,0.24401549
1951,0.24717167,0.24717167,0.24717167,0.24717167
1952,0.25032786,0.25032786,0.25032786,0.25032786
1953,0.25348405,0.25348405,0.25348405,0.25348405
1954,0.25664024,0.25664024,0.25664024,0.25664024
1955,0.25979643,0.25979643,0.25979643,0.25979643
1956,0.26295261,0.26295261,0.26295261,0.26295261
1957,0.2661088,0.2661088,0.2661088,0.2661088
1958,0.26926499,0.26926499,0.26926499,0.26926499
1959,0.27242118,0.27242118,0.27242118,0.27242118
1960,0.27557737,0.27557737,0.27557737,0.27557737
1961,0.27747635,0.27747635,0.27747635,0.27747635
1962,0.27937533,0.27937533,0.27937533,0.27937533
1963,0.28127431,0.28127431,0.28127431,0.28127431
1964,0.28317329,0.28317329,0.28317329,0.28317329
1965,0.28507227,0.28507227,0.28507227,0.28507227
1966,0.28697125,0.28697125,0.28697125,0.28697125
1967,0.28887023,0.28887023,0.28887023,0.28887023
1968,0.29076921,0.29076921,0.29076921,0.29076921
1969,0.29266819,0.29266819,0.29266819,0.29266819
1970,0.29456717,0.29456717,0.29456717,0.29456717
1971,0.2971332,0.2971332,0.2971332,0.2971332
1972,0.29969922,0.29969922,0.29969922,0.29969922
1973,0.30226524,0.30226524,0.30226524,0.30226524
1974,0.30483126,0.30483126,0.30483126,0.30483126
1975,0.30739728,0.30739728,0.30739728,0.30739728
1976,0.3099633,0.3099633,0.3099633,0.3099633
1977,0.31252932,0.31252932,0.31252932,0.31252932
1978,0.31509535,0.31509535,0.31509535,0.31509535
1979,0.31766137,0.31766137,0.31766137,0.31766137
1980,0.32022739,0.32022739,0.32022739,0.32022739
1981,0.32289178,0.32289178,0.32289178,0.32289178
1982,0.32555616,0.32555616,0.32555616,0.32555616
1983,0.32822055,0.32822055,0.32822055,0.32822055
1984,0.33088494,0.33088494,0.33088494,0.33088494
1985,0.33354933,0.33354933,0.33354933,0.33354933
1986,0.33621371,0.33621371,0.33621371,0.33621371
1987,0.3388781,0.3388781,0.3388781,0.3388781
1988,0.34154249,0.34154249,0.34154249,0.34154249
1989,0.34420688,0.34420688,0.34420688,0.34420688
1990,0.34687126,0.34687126,0.34687126,0.34687126
1991,0.34090843,0.34090843,0.34090843,0.34090843
1992,0.3349456,0.3349456,0.3349456,0.3349456
1993,0.32898278,0.32898278,0.32898278,0.32898278
1994,0.32301995,0.32301995,0.32301995,0.32301995
1995,0.31705712,0.31705712,0.31705712,0.31705712
1996,0.31109429,0.31109429,0.31109429,0.31109429
1997,0.30513146,0.30513146,0.30513146,0.30513146
1998,0.29916863,0.29916863,0.29916863,0.29916863
1999,0.2932058,0.2932058,0.2932058,0.2932058
2000,0.28724297,0.28724297,0.28724297,0.28724297
2001,0.28978305,0.28695624,0.28578797,0.28971898
2002,0.29232312,0.2866695,0.28433296,0.29219499
2003,0.2948632,0.28638276,0.28287796,0.294671
2004,0.29740327,0.28609603,0.28142295,0.29714701
2005,0.29994334,0.28580929,0.27996795,0.29962302
2006,0.30248342,0.28552256,0.27851294,0.30209903
2007,0.30502349,0.28523582,0.27705794,0.30457504
2008,0.30756357,0.28494909,0.27560293,0.30705105
2009,0.31010364,0.28466235,0.27414793,0.30952706
2010,0.31264372,0.28437562,0.27269292,0.31200307
2011,0.30531903,0.28482089,0.27252934,0.31335335
2012,0.29799435,0.28526616,0.27236576,0.31470363
2013,0.29066966,0.28571144,0.27220218,0.31605391
2014,0.28334497,0.28615671,0.27203859,0.31740419
2015,0.27602029,0.28660198,0.27187501,0.31875446
2016,0.2686956,0.28704726,0.27171143,0.32010474
2017,0.26137092,0.28749253,0.27154785,0.32145502
2018,0.25404623,0.2879378,0.27138426,0.3228053
2019,0.24672154,0.28838308,0.27122068,0.32415558
2020,0.23939686,0.28882835,0.2710571,0.32550586
2021,0.23811104,0.28873205,0.27129211,0.32489958
2022,0.23682521,0.28863575,0.27152711,0.32429331
2023,0.23553939,0.28853945,0.27176212,0.32368704
2024,0.23425357,0.28844314,0.27199713,0.32308076
2025,0.23296775,0.28834684,0.27223213,0.32247449
2026,0.23168193,0.28825054,0.27246714,0.32186822
2027,0.2303961,0.28815424,0.27270215,0.32126194
2028,0.22911028,0.28805794,0.27293715,0.32065567
2029,0.22782446,0.28796164,0.27317216,0.3200494
2030,0.22653864,0.28786534,0.27340717,0.31944312
2031,0.22735931,0.28785865,0.27463173,0.32057326
2032,0.22817998,0.28785197,0.27585629,0.3217034
2033,0.22900065,0.28784528,0.27708085,0.32283354
2034,0.22982132,0.2878386,0.2783054,0.32396368
2035,0.23064199,0.28783192,0.27952996,0.32509382
2036,0.23146266,0.28782523,0.28075452,0.32622396
2037,0.23228333,0.28781855,0.28197908,0.3273541
2038,0.233104,0.28781186,0.28320364,0.32848424
2039,0.23392467,0.28780518,0.2844282,0.32961438
2040,0.23474534,0.2877985,0.28565276,0.33074452
2041,0.23477211,0.28787961,0.28611097,0.33147077
2042,0.23479889,0.28796073,0.28656917,0.33219702
2043,0.23482566,0.28804185,0.28702738,0.33292326
2044,0.23485243,0.28812297,0.28748559,0.33364951
2045,0.2348792,0.28820409,0.2879438,0.33437576
2046,0.23490597,0.28828521,0.28840201,0.335102
2047,0.23493274,0.28836633,0.28886021,0.33582825
2048,0.23495951,0.28844744,0.28931842,0.3365545
2049,0.23498628,0.28852856,0.28977663,0.33728074
2050,0.23501305,0.28860968,0.29023484,0.33800699
2051,0.22703557,0.28782101,0.28958106,0.33874918
2052,0.21905808,0.28703233,0.28892728,0.33949136
2053,0.2110806,0.28624366,0.28827351,0.34023355
2054,0.20310312,0.28545498,0.28761973,0.34097573
2055,0.19512563,0.28466631,0.28696595,0.34171792
2056,0.18714815,0.28387764,0.28631218,0.3424601
